Subject,Body,Label
Your tax refund is waiting,Your tax refund is waiting. Click to claim.,Phishing
Thank you for your order,Reminder for your scheduled appointment tomorrow.,Legitimate
Lunch next week?,Your payment has been successfully processed. Thank you!,Legitimate
Reset your password to continue,Update your security preferences to keep your account safe.,Phishing
Security alert from our team,Exclusive VIP membership offer. Join today.,Phishing
Congratulations! You've won a prize,"Hi, we noticed some unusual activity on your account. Please confirm your details to keep your access.",Phishing
Dinner plans for Friday,Welcome to our platform! We’re excited to have you on board.,Legitimate
Work from home and earn $500/day,Urgent: Transfer funds immediately to secure your account.,Phishing
Join our charity event,Would you be free for lunch next week? Looking forward to catching up.,Legitimate
Happy Diwali from our team,Conference details for Berlin event enclosed.,Legitimate
Conference in Berlin - Details inside,Hotel booking confirmed. Looking forward to hosting you.,Legitimate
Welcome to our platform,Payment received successfully. Thank you for your trust.,Legitimate
Survey participation request,Bank statement available for download.,Legitimate
Your account might be restricted,We detected suspicious login attempts. Secure your account by confirming your identity.,Phishing
Follow-up on your request,Here’s the monthly performance summary. Great work everyone!,Legitimate
Birthday wishes from our team,Tax filing reminder: Deadline approaching.,Legitimate
Security alert from our team,Confirm payment details immediately to avoid service interruption.,Phishing
Your Netflix account will expire,Exclusive crypto investment opportunity. Double your money fast!,Phishing
Unlock premium content now,Your account is on hold. Click here to resolve the issue.,Phishing
Your account might be restricted,Click to avoid account termination and restore access.,Phishing
Reset your password to continue,Unlock premium content now. Subscribe today.,Phishing
Invoice attached for your records,Project deadline reminder: Submit by Friday.,Legitimate
Invoice attached for your records,Weekly newsletter from Paris with latest updates.,Legitimate
Meeting rescheduled,Your application has been received. We’ll get back to you soon.,Legitimate
Birthday wishes from our team,The meeting has been moved to Thursday afternoon. Please confirm your availability.,Legitimate
Confirm your identity to proceed,Your account is on hold. Click here to resolve the issue.,Phishing
Your account needs verification,We detected suspicious login attempts. Secure your account by confirming your identity.,Phishing
Urgent: Transfer funds immediately,Verify your billing address to prevent delays.,Phishing
Follow-up on your request,You’re invited to join our upcoming webinar. Details inside.,Legitimate
Your subscription renewal notice,Your subscription details are attached for your reference.,Legitimate
Newsletter: Latest updates,We’d love your feedback on our recent service. It helps us improve.,Legitimate
Invoice attached for your records,Your application has been received. We’ll get back to you soon.,Legitimate
Exclusive VIP membership offer,Security alert: Please review your account settings immediately.,Phishing
Your tax refund is waiting,Verify your billing address to prevent delays.,Phishing
Limited time offer just for you,Work from home and earn $500/day. Apply now!,Phishing
Security alert from our team,Payment issue detected. Please update your payment details promptly.,Phishing
Welcome to our platform,Thank you for your order. We appreciate your business.,Legitimate
Your account is on hold,Immediate attention required: Your account may be compromised.,Phishing
Free vacation package for you,Action needed to secure your account from unauthorized access.,Phishing
Your health report is ready,Dinner reservation confirmed for Friday night.,Legitimate
Important notice regarding your account,Verify your billing address to prevent delays.,Phishing
Limited seats for Dubai trip,Your account needs verification to avoid restrictions.,Phishing
Season's greetings from Tokyo,Conference details for Berlin event enclosed.,Legitimate
Reset your password to continue,Your Netflix account will expire soon. Renew now.,Phishing
Unlock your account now,Your account needs verification to avoid restrictions.,Phishing
Invitation to join webinar,Your flight itinerary is attached. Have a pleasant journey.,Legitimate
Join our charity event,Your health report is ready. Please review.,Legitimate
Lunch next week?,Your account settings have been updated as requested.,Legitimate
Special discount on luxury watches,Your account might be restricted soon. Verify your information to avoid interruption.,Phishing
Invitation to join webinar,Check out the latest updates in our newsletter.,Legitimate
Reset your password to continue,Congratulations! You've won a lottery prize. Claim now!,Phishing
Order dispatched successfully,We’d love your feedback on our recent service. It helps us improve.,Legitimate
Password change confirmation,Following up on your earlier request. Please let me know if you need more details.,Legitimate
Urgent: Confirm your credentials,Exclusive crypto investment opportunity. Double your money fast!,Phishing
Project deadline reminder,Thank you for your order. We appreciate your business.,Legitimate
Invoice for last month,You’re invited to join our upcoming webinar. Details inside.,Legitimate
Follow-up on your request,Are we still good for dinner on Friday? Let me know your preference.,Legitimate
Urgent: Transfer funds immediately,Claim your free iPhone now. Limited stock!,Phishing
Claim your reward today,Your account will be suspended unless you confirm your credentials.,Phishing
